"id"	"knockdown_method"	"target"	"cell"	"cell_type"	"platform"	"rep"	"sign"	"target_expr"	"pct_ko"	"pct_ko_threshold"
"GSM1311283"	"shRNA"	"BRCA1"	"MCF-10A"	"MCF-10A-shBRCA1-replicate-3-[Set-2]"	"GPL6884"	"k3"	-1	NA	NA	"No"
"GSM1311284"	"shRNA"	"BRCA1"	"MCF-10A"	"MCF-10A-shBRCA1-replicate-4-[Set-2]"	"GPL6884"	"k4"	-1	NA	NA	"No"
"GSM1311285"	"shRNA"	"BRCA1"	"MCF-10A"	"MCF-10A-shPTEN-shBRCA1-replicate-1-[Set-2]"	"GPL6884"	"k1"	-1	NA	NA	"No"
"GSM1311286"	"shRNA"	"BRCA1"	"MCF-10A"	"MCF-10A-shPTEN-shBRCA1-replicate-2-[Set-2]"	"GPL6884"	"k2"	-1	NA	NA	"No"
"GSM1311287"	"shRNA"	"BRCA1"	"MCF-10A"	"MCF-10A-shPTEN-shBRCA1-replicate-3-[Set-2]"	"GPL6884"	"k3"	-1	NA	NA	"No"
"GSM1311288"	"shRNA"	"BRCA1"	"MCF-10A"	"MCF-10A-shPTEN-shBRCA1-replicate-4-[Set-2]"	"GPL6884"	"k4"	-1	NA	NA	"No"
"GSM1087801"	"Control"	"NAN"	"HEK293"	"LIN28B-not-induced-rep1-[Affymetrix]"	"GPL570"	"c1"	1	NA	NA	"No"
"GSM1087802"	"Control"	"NAN"	"HEK293"	"LIN28B-not-induced-rep2-[Affymetrix]"	"GPL570"	"c2"	1	NA	NA	"No"
"GSM851676"	"siRNA"	"RUNX1"	"SKNO-1"	"siRE-D2-SKNO1-E"	"GPL10558"	"NAN"	-1	-1.6551173099625	NA	"No"
"GSM851677"	"Control"	"NAN"	"SKNO-1"	"siMM-D2-SKNO1-G"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM851678"	"siRNA"	"RUNX1"	"SKNO-1"	"siRE-D4-SKNO1-I"	"GPL10558"	"NAN"	-1	-0.0815308589945123	NA	"No"
"GSM851679"	"Control"	"NAN"	"SKNO-1"	"siMM-D4-SKNO1-K"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM851680"	"siRNA"	"RUNX1"	"SKNO-1"	"siRE-D7-SKNO1-B"	"GPL10558"	"NAN"	-1	0.386003014620471	NA	"No"
"GSM851681"	"Control"	"NAN"	"SKNO-1"	"siMM-D7-SKNO1-D"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM851682"	"siRNA"	"RUNX1"	"SKNO-1"	"siRE-D10-SKNO1-F"	"GPL10558"	"NAN"	-1	-1.31235276763389	NA	"No"
"GSM851683"	"Control"	"NAN"	"SKNO-1"	"siMM-D10-SKNO1-H"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM851684"	"Control"	"NAN"	"Kasumi-1"	"L852-1-J"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM851685"	"siRNA"	"RUNX1"	"Kasumi-1"	"L852-2-L"	"GPL10558"	"NAN"	-1	NA	NA	"No"
"GSM28627"	"Control"	"NAN"	"HEK-293"	"Uninfected-control-0a"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28628"	"Control"	"NAN"	"HEK-293"	"Uninfected-control-0b"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28629"	"Control"	"NAN"	"HEK-293"	"Uninfected-control-0c"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28630"	"Control"	"NAN"	"HEK-293"	"Uninfected-control-4a"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28631"	"Control"	"NAN"	"HEK-293"	"Uninfected-control-4b"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28632"	"Control"	"NAN"	"HEK-293"	"Uninfected-control-4c"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28633"	"Control"	"NAN"	"HEK-293"	"LacZ-control-0a"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28634"	"Control"	"NAN"	"HEK-293"	"LacZ-control-0b"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28635"	"Control"	"NAN"	"HEK-293"	"LacZ-control-0c"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28636"	"Control"	"NAN"	"HEK-293"	"LacZ-control-4a"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28637"	"Control"	"NAN"	"HEK-293"	"LacZ-control-4b"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28638"	"Control"	"NAN"	"HEK-293"	"LacZ-control-4c"	"GPL201"	"NAN"	1	NA	NA	"No"
"GSM28639"	"siRNA"	"ATM"	"HEK-293"	"ATM-siRNA-0a"	"GPL201"	"NAN"	-1	-0.406749555950266	NA	"No"
"GSM28640"	"siRNA"	"ATM"	"HEK-293"	"ATM-siRNA-0b"	"GPL201"	"NAN"	-1	-0.303730017761989	NA	"No"
"GSM28641"	"siRNA"	"ATM"	"HEK-293"	"ATM-siRNA-0c"	"GPL201"	"NAN"	-1	-0.460035523978686	NA	"No"
"GSM28642"	"siRNA"	"ATM"	"HEK-293"	"ATM-siRNA-4a"	"GPL201"	"NAN"	-1	-0.225577264653641	NA	"No"
"GSM28643"	"siRNA"	"ATM"	"HEK-293"	"ATM-siRNA-4b"	"GPL201"	"NAN"	-1	-0.19360568383659	NA	"No"
"GSM28644"	"siRNA"	"ATM"	"HEK-293"	"ATM-siRNA-4c"	"GPL201"	"NAN"	-1	-0.0373001776198935	NA	"No"
"GSM28645"	"siRNA"	"RELA"	"HEK-293"	"RelA-siRNA-0a"	"GPL201"	"NAN"	-1	-0.460379192999514	NA	"No"
"GSM28646"	"siRNA"	"RELA"	"HEK-293"	"RelA-siRNA-0b"	"GPL201"	"NAN"	-1	-0.348565872630044	NA	"No"
"GSM28647"	"siRNA"	"RELA"	"HEK-293"	"RelA-siRNA-0c"	"GPL201"	"NAN"	-1	-0.45308701993194	NA	"No"
"GSM28648"	"siRNA"	"RELA"	"HEK-293"	"RelA-siRNA-4a"	"GPL201"	"NAN"	-1	-0.376762275157997	NA	"No"
"GSM28649"	"siRNA"	"RELA"	"HEK-293"	"RelA-siRNA-4b"	"GPL201"	"NAN"	-1	-0.394749635391347	NA	"No"
"GSM28650"	"siRNA"	"RELA"	"HEK-293"	"RelA-siRNA-4c"	"GPL201"	"NAN"	-1	-0.421001458434614	NA	"No"
"GSM707161"	"siRNA"	"SNAI1"	"HEK-293"	"Snai1-rep-1"	"GPL6947"	"k1"	-1	-1.15251890825386	2897.0868135345	"Yes"
"GSM707162"	"siRNA"	"SNAI1"	"HEK-293"	"Snai1-rep-2"	"GPL6947"	"k2"	-1	0.573301545544229	2897.0868135345	"Yes"
"GSM707163"	"Control"	"NAN"	"HEK-293"	"C-rep-1"	"GPL6947"	"c1"	1	NA	NA	"No"
"GSM707164"	"Control"	"NAN"	"HEK-293"	"C-rep-2"	"GPL6947"	"c2"	1	NA	NA	"No"
"GSM1132859"	"Control"	"NAN"	"HSY"	"HSY-CREB-control-biological-rep1"	"GPL570"	"c1"	1	NA	NA	"No"
"GSM1132860"	"Control"	"NAN"	"HSY"	"HSY-CREB-control-biological-rep2"	"GPL570"	"c2"	1	NA	NA	"No"
"GSM1132861"	"Control"	"NAN"	"HSY"	"HSY-CREB-control-biological-rep3"	"GPL570"	"c3"	1	NA	NA	"No"
"GSM1132865"	"Control"	"NAN"	"H3118-MEC"	"H3118-CREB-control-biological-rep1"	"GPL570"	"c1"	1	NA	NA	"No"
"GSM1132866"	"Control"	"NAN"	"H3118-MEC"	"H3118-CREB-control-biological-rep2"	"GPL570"	"c2"	1	NA	NA	"No"
"GSM1132867"	"Control"	"NAN"	"H3118-MEC"	"H3118-CREB-control-biological-rep3"	"GPL570"	"c3"	1	NA	NA	"No"
"GSM1924601"	"Control"	"NAN"	"BE2-C"	"CX-control-siRNA-transfected"	"GPL570"	"NAN"	1	NA	NA	"No"
"GSM1924602"	"siRNA"	"TFAP4"	"BE2-C"	"TFAP4-siRNA-1-transfected"	"GPL570"	"k1"	-1	-0.0809347725831579	NA	"No"
"GSM1924603"	"siRNA"	"TFAP4"	"BE2-C"	"TFAP4-siRNA-2-transfected"	"GPL570"	"k2"	-1	-0.0291813292011465	NA	"No"
"GSM1924604"	"siRNA"	"MYCN"	"BE2-C"	"MYCN-siRNA-1-transfected"	"GPL570"	"k1"	-1	-0.536757900450137	NA	"No"
"GSM1924605"	"Control"	"NAN"	"BE2-C"	"TL-control-siRNA-transfected"	"GPL570"	"NAN"	1	NA	NA	"No"
"GSM1924606"	"siRNA"	"MYCN"	"BE2-C"	"MYCN-siRNA-2-transfected"	"GPL570"	"k2"	-1	0.540603551967351	NA	"No"
"GSM1607669"	"Control"	"NAN"	"SPC04"	"control-MYT1L-day7-Rep1"	"GPL10558"	"c1"	1	NA	NA	"No"
"GSM1607670"	"Control"	"NAN"	"SPC04"	"control-MYT1L-day7-Rep2"	"GPL10558"	"c2"	1	NA	NA	"No"
"GSM1607671"	"Control"	"NAN"	"SPC04"	"control-MYT1L-day7-Rep3"	"GPL10558"	"c3"	1	NA	NA	"No"
"GSM1607672"	"Control"	"NAN"	"SPC04"	"control-MYT1L-day7-Rep4"	"GPL10558"	"c4"	1	NA	NA	"No"
"GSM1607673"	"Control"	"NAN"	"SPC04"	"control-MEF2A-day7-Rep1"	"GPL10558"	"c1"	1	NA	NA	"No"
"GSM1607674"	"Control"	"NAN"	"SPC04"	"control-MEF2A-day7-Rep2"	"GPL10558"	"c2"	1	NA	NA	"No"
"GSM1607675"	"Control"	"NAN"	"SPC04"	"control-MEF2A-day7-Rep3"	"GPL10558"	"c3"	1	NA	NA	"No"
"GSM1607678"	"Control"	"NAN"	"SPC04"	"control-MYT1L-day14-Rep1"	"GPL10558"	"c1"	1	NA	NA	"No"
"GSM1607679"	"Control"	"NAN"	"SPC04"	"control-MYT1L-day14-Rep2"	"GPL10558"	"c2"	1	NA	NA	"No"
"GSM1607680"	"Control"	"NAN"	"SPC04"	"control-MYT1L-day14-Rep3"	"GPL10558"	"c3"	1	NA	NA	"No"
"GSM610340"	"Control"	"NAN"	"K562"	"Expression-in-K562-cells-following-TPA-induction-with-a-control-structure---rep-1"	"GPL5188"	"c1"	1	NA	NA	"No"
"GSM610341"	"shRNA"	"RUNX1"	"K562"	"Expression-in-K562-cells-following-TPA-induction-with-a-RUNX1-KO-structure---rep-1"	"GPL5188"	"k1"	-1	0	1	"Yes"
"GSM610342"	"Control"	"NAN"	"K562"	"Expression-in-K562-cells---rep-1"	"GPL5188"	"c1"	1	NA	NA	"No"
"GSM610346"	"Control"	"NAN"	"K562"	"Expression-in-K562-cells-following-TPA-induction-with-a-control-structure---rep-2"	"GPL5188"	"c2"	1	NA	NA	"No"
"GSM610347"	"shRNA"	"RUNX1"	"K562"	"Expression-in-K562-cells-following-TPA-induction-with-a-RUNX1-KO-structure---rep-2"	"GPL5188"	"k2"	-1	0	1	"Yes"
"GSM610348"	"Control"	"NAN"	"K562"	"Expression-in-K562-cells-following-TPA-induction-with-a-control-structure---rep-3"	"GPL5188"	"c3"	1	NA	NA	"No"
"GSM610349"	"shRNA"	"RUNX1"	"K562"	"Expression-in-K562-cells-following-TPA-induction-with-a-RUNX1-KO-structure---rep-3"	"GPL5188"	"k3"	-1	0	1	"Yes"
"GSM857336"	"Control"	"NAN"	"H1-hESCs"	"H1P-1"	"GPL10558"	"c1"	1	NA	NA	"No"
"GSM857337"	"Control"	"NAN"	"H1-hESCs"	"H1P-2"	"GPL10558"	"c2"	1	NA	NA	"No"
"GSM857338"	"Control"	"NAN"	"H1-hESCs"	"H1P-3"	"GPL10558"	"c3"	1	NA	NA	"No"
"GSM857339"	"Control"	"NAN"	"H1-hESCs"	"H1P-4"	"GPL10558"	"c4"	1	NA	NA	"No"
"GSM857340"	"Control"	"NAN"	"H1-hESCs"	"H1P-5"	"GPL10558"	"c5"	1	NA	NA	"No"
"GSM857341"	"Control"	"NAN"	"H1-hESCs"	"H1P-6"	"GPL10558"	"c6"	1	NA	NA	"No"
"GSM857342"	"Control"	"NAN"	"H1-hESCs"	"H1P-7"	"GPL10558"	"c7"	1	NA	NA	"No"
"GSM857343"	"Control"	"NAN"	"H1-hESCs"	"H1P-8"	"GPL10558"	"c8"	1	NA	NA	"No"
"GSM857344"	"shRNA"	"NANOG"	"H1-hESCs"	"shNANOG-1"	"GPL10558"	"k1"	-1	-0.171010320369091	2.40478612905038	"Yes"
"GSM857345"	"shRNA"	"NANOG"	"H1-hESCs"	"shNANOG-2"	"GPL10558"	"k2"	-1	-0.290711944373577	2.40478612905038	"Yes"
"GSM857346"	"shRNA"	"NANOG"	"H1-hESCs"	"shNANOG-3"	"GPL10558"	"k3"	-1	-0.368130499282223	2.40478612905038	"Yes"
"GSM857347"	"shRNA"	"NANOG"	"H1-hESCs"	"shNANOG-4"	"GPL10558"	"k4"	-1	-0.470348422598999	2.40478612905038	"Yes"
"GSM857348"	"shRNA"	"NANOG"	"H1-hESCs"	"shNANOG-5"	"GPL10558"	"k5"	-1	-0.464170474493609	2.40478612905038	"Yes"
"GSM857349"	"shRNA"	"NANOG"	"H1-hESCs"	"shNANOG-6"	"GPL10558"	"k6"	-1	-0.533392070701169	2.40478612905038	"Yes"
"GSM857350"	"shRNA"	"NANOG"	"H1-hESCs"	"shNANOG-7"	"GPL10558"	"k7"	-1	-0.555102618698687	2.40478612905038	"Yes"
"GSM857351"	"shRNA"	"NANOG"	"H1-hESCs"	"shNANOG-8"	"GPL10558"	"k8"	-1	-0.980661939253455	2.40478612905038	"Yes"
"GSM857352"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-1"	"GPL10558"	"k1"	-1	-0.0384495640386341	5.97001145689379	"Yes"
"GSM857353"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-2"	"GPL10558"	"k2"	-1	-0.521148856304494	5.97001145689379	"Yes"
"GSM857354"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-3"	"GPL10558"	"k3"	-1	-0.669933358354001	5.97001145689379	"Yes"
"GSM857355"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-4"	"GPL10558"	"k4"	-1	-0.774775415188561	5.97001145689379	"Yes"
"GSM857356"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-5"	"GPL10558"	"k5"	-1	-0.81981382465493	5.97001145689379	"Yes"
"GSM857357"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-6"	"GPL10558"	"k6"	-1	-0.824587899032866	5.97001145689379	"Yes"
"GSM857358"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-7"	"GPL10558"	"k7"	-1	-0.825906486106235	5.97001145689379	"Yes"
"GSM857359"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-8"	"GPL10558"	"k8"	-1	-0.829163874731315	5.97001145689379	"Yes"
"GSM857360"	"shRNA"	"SOX2"	"H1-hESCs"	"shSOX2-1"	"GPL10558"	"k1"	-1	-0.397127170181901	2.00551890226756	"Yes"
"GSM857361"	"shRNA"	"SOX2"	"H1-hESCs"	"shSOX2-2"	"GPL10558"	"k2"	-1	-0.42402368870958	2.00551890226756	"Yes"
"GSM857362"	"shRNA"	"SOX2"	"H1-hESCs"	"shSOX2-3"	"GPL10558"	"k3"	-1	-0.418184138957372	2.00551890226756	"Yes"
"GSM857363"	"shRNA"	"SOX2"	"H1-hESCs"	"shSOX2-4"	"GPL10558"	"k4"	-1	-0.425455952858527	2.00551890226756	"Yes"
"GSM857364"	"shRNA"	"SOX2"	"H1-hESCs"	"shSOX2-5"	"GPL10558"	"k5"	-1	-0.468885944902322	2.00551890226756	"Yes"
"GSM857365"	"shRNA"	"SOX2"	"H1-hESCs"	"shSOX2-6"	"GPL10558"	"k6"	-1	-0.449628588358269	2.00551890226756	"Yes"
"GSM857366"	"shRNA"	"SOX2"	"H1-hESCs"	"shSOX2-7"	"GPL10558"	"k7"	-1	-0.433026032396935	2.00551890226756	"Yes"
"GSM857367"	"shRNA"	"SOX2"	"H1-hESCs"	"shSOX2-8"	"GPL10558"	"k8"	-1	-0.394653437304125	2.00551890226756	"Yes"
"GSM857368"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-H9-1"	"GPL10558"	"k1"	-1	NA	NA	"No"
"GSM857369"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-H9-2"	"GPL10558"	"k2"	-1	NA	NA	"No"
"GSM857370"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-H9-3"	"GPL10558"	"k3"	-1	NA	NA	"No"
"GSM857371"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-H9-4"	"GPL10558"	"k4"	-1	NA	NA	"No"
"GSM857372"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-H9-5"	"GPL10558"	"k5"	-1	NA	NA	"No"
"GSM857373"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-H9-6"	"GPL10558"	"k6"	-1	NA	NA	"No"
"GSM857374"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-H9-7"	"GPL10558"	"k7"	-1	NA	NA	"No"
"GSM857375"	"shRNA"	"POU5F1"	"H1-hESCs"	"shOCT4-H9-8"	"GPL10558"	"k8"	-1	NA	NA	"No"
"GSM1482307"	"Control"	"NAN"	"HT1080"	"cells-treated-with-non-target-control-shRNA"	"GPL16686"	"NAN"	1	NA	NA	"No"
"GSM1482308"	"shRNA"	"MYC"	"HT1080"	"cells-treated-with-cMyc-shRNA"	"GPL16686"	"NAN"	-1	-0.999999999999998	NA	"No"
"GSM1530541"	"Control"	"NAN"	"HSPCs"	"CTL-HSPC-replicate1"	"GPL6244"	"c1"	1	NA	NA	"No"
"GSM1530542"	"Control"	"NAN"	"HSPCs"	"CTL-HSPC-replicate2"	"GPL6244"	"c2"	1	NA	NA	"No"
"GSM1530543"	"Control"	"NAN"	"HSPCs"	"CTL-HSPC-replicate3"	"GPL6244"	"c3"	1	NA	NA	"No"
"GSM1566754"	"Control"	"NAN"	"L-1236"	"L-1236-siNT-Seq1-Rep1"	"GPL6244"	"c1"	1	NA	NA	"No"
"GSM1566755"	"Control"	"NAN"	"L-1236"	"L-1236-siNT-Seq2-Rep1"	"GPL6244"	"c1"	1	NA	NA	"No"
"GSM1566756"	"siRNA"	"NFKB2"	"L-1236"	"L-1236-siNFKB2-Seq1-Rep1"	"GPL6244"	"k1"	-1	-0.714143746570093	2.25324051278397	"Yes"
"GSM1566757"	"siRNA"	"NFKB2"	"L-1236"	"L-1236-siNFKB2-Seq2-Rep1"	"GPL6244"	"k1"	-1	-0.528771581008886	2.25324051278397	"Yes"
"GSM1566758"	"Control"	"NAN"	"L-1236"	"L-1236-siNT-Seq1-Rep2"	"GPL6244"	"c2"	1	NA	NA	"No"
"GSM1566759"	"Control"	"NAN"	"L-1236"	"L-1236-siNT-Seq2-Rep2"	"GPL6244"	"c2"	1	NA	NA	"No"
