	id	knockdown_method	target	cell	cell_type	platform	rep	sign	components
40	GSM973311	Control	NAN	MCF7	siNT-E2-r4	GPL6947	c4	1	total_enrichment
41	GSM973311	Control	NAN	MCF7	siNT-E2-r4	GPL6947	c4	1	local_enrichment
42	GSM973311	Control	NAN	MCF7	siNT-E2-r4	GPL6947	c4	1	delta
43	GSM973311	Control	NAN	MCF7	siNT-E2-r4	GPL6947	c4	1	quant_nes
44	GSM973312	siRNA	GATA3	MCF7	siGATA-2-Veh-r2	GPL6947	k2	-1	total_enrichment
45	GSM973312	siRNA	GATA3	MCF7	siGATA-2-Veh-r2	GPL6947	k2	-1	local_enrichment
46	GSM973312	siRNA	GATA3	MCF7	siGATA-2-Veh-r2	GPL6947	k2	-1	delta
47	GSM973312	siRNA	GATA3	MCF7	siGATA-2-Veh-r2	GPL6947	k2	-1	quant_nes
48	GSM973313	Control	NAN	MCF7	siNT-E2-r1	GPL6947	c1	1	total_enrichment
49	GSM973313	Control	NAN	MCF7	siNT-E2-r1	GPL6947	c1	1	local_enrichment
50	GSM973313	Control	NAN	MCF7	siNT-E2-r1	GPL6947	c1	1	delta
51	GSM973313	Control	NAN	MCF7	siNT-E2-r1	GPL6947	c1	1	quant_nes
52	GSM973314	Control	NAN	MCF7	siNT-Veh-r2	GPL6947	c2	1	total_enrichment
53	GSM973314	Control	NAN	MCF7	siNT-Veh-r2	GPL6947	c2	1	local_enrichment
54	GSM973314	Control	NAN	MCF7	siNT-Veh-r2	GPL6947	c2	1	delta
55	GSM973314	Control	NAN	MCF7	siNT-Veh-r2	GPL6947	c2	1	quant_nes
56	GSM973315	siRNA	GATA3	MCF7	siGATA-1-Veh-r1	GPL6947	k1	-1	total_enrichment
57	GSM973315	siRNA	GATA3	MCF7	siGATA-1-Veh-r1	GPL6947	k1	-1	local_enrichment
58	GSM973315	siRNA	GATA3	MCF7	siGATA-1-Veh-r1	GPL6947	k1	-1	delta
59	GSM973315	siRNA	GATA3	MCF7	siGATA-1-Veh-r1	GPL6947	k1	-1	quant_nes
60	GSM973316	siRNA	GATA3	MCF7	siGATA-2-E2-r1	GPL6947	k1	-1	total_enrichment
61	GSM973316	siRNA	GATA3	MCF7	siGATA-2-E2-r1	GPL6947	k1	-1	local_enrichment
62	GSM973316	siRNA	GATA3	MCF7	siGATA-2-E2-r1	GPL6947	k1	-1	delta
63	GSM973316	siRNA	GATA3	MCF7	siGATA-2-E2-r1	GPL6947	k1	-1	quant_nes
64	GSM973317	siRNA	GATA3	MCF7	siGATA-0-Veh-r2	GPL6947	k2	-1	total_enrichment
65	GSM973317	siRNA	GATA3	MCF7	siGATA-0-Veh-r2	GPL6947	k2	-1	local_enrichment
66	GSM973317	siRNA	GATA3	MCF7	siGATA-0-Veh-r2	GPL6947	k2	-1	delta
67	GSM973317	siRNA	GATA3	MCF7	siGATA-0-Veh-r2	GPL6947	k2	-1	quant_nes
68	GSM973318	Control	NAN	MCF7	siNT-E2-r3	GPL6947	c3	1	total_enrichment
69	GSM973318	Control	NAN	MCF7	siNT-E2-r3	GPL6947	c3	1	local_enrichment
70	GSM973318	Control	NAN	MCF7	siNT-E2-r3	GPL6947	c3	1	delta
71	GSM973318	Control	NAN	MCF7	siNT-E2-r3	GPL6947	c3	1	quant_nes
72	GSM973319	siRNA	GATA3	MCF7	siGATA-2-E2-r2	GPL6947	k2	-1	total_enrichment
73	GSM973319	siRNA	GATA3	MCF7	siGATA-2-E2-r2	GPL6947	k2	-1	local_enrichment
74	GSM973319	siRNA	GATA3	MCF7	siGATA-2-E2-r2	GPL6947	k2	-1	delta
75	GSM973319	siRNA	GATA3	MCF7	siGATA-2-E2-r2	GPL6947	k2	-1	quant_nes
76	GSM973320	siRNA	GATA3	MCF7	siGATA-1-E2-r2	GPL6947	k2	-1	total_enrichment
77	GSM973320	siRNA	GATA3	MCF7	siGATA-1-E2-r2	GPL6947	k2	-1	local_enrichment
78	GSM973320	siRNA	GATA3	MCF7	siGATA-1-E2-r2	GPL6947	k2	-1	delta
79	GSM973320	siRNA	GATA3	MCF7	siGATA-1-E2-r2	GPL6947	k2	-1	quant_nes
80	GSM973321	Control	NAN	MCF7	siNT-Veh-r4	GPL6947	c4	1	total_enrichment
81	GSM973321	Control	NAN	MCF7	siNT-Veh-r4	GPL6947	c4	1	local_enrichment
82	GSM973321	Control	NAN	MCF7	siNT-Veh-r4	GPL6947	c4	1	delta
83	GSM973321	Control	NAN	MCF7	siNT-Veh-r4	GPL6947	c4	1	quant_nes
84	GSM973322	siRNA	GATA3	MCF7	siGATA-0-E2-r1	GPL6947	k1	-1	total_enrichment
85	GSM973322	siRNA	GATA3	MCF7	siGATA-0-E2-r1	GPL6947	k1	-1	local_enrichment
86	GSM973322	siRNA	GATA3	MCF7	siGATA-0-E2-r1	GPL6947	k1	-1	delta
87	GSM973322	siRNA	GATA3	MCF7	siGATA-0-E2-r1	GPL6947	k1	-1	quant_nes
88	GSM1406284	Control	NAN	LNCaP	Control1-Et	GPL6244	NAN	1	total_enrichment
89	GSM1406284	Control	NAN	LNCaP	Control1-Et	GPL6244	NAN	1	local_enrichment
90	GSM1406284	Control	NAN	LNCaP	Control1-Et	GPL6244	NAN	1	delta
91	GSM1406284	Control	NAN	LNCaP	Control1-Et	GPL6244	NAN	1	quant_nes
92	GSM1406285	Control	NAN	LNCaP	Control1-DHT	GPL6244	NAN	1	total_enrichment
93	GSM1406285	Control	NAN	LNCaP	Control1-DHT	GPL6244	NAN	1	local_enrichment
94	GSM1406285	Control	NAN	LNCaP	Control1-DHT	GPL6244	NAN	1	delta
95	GSM1406285	Control	NAN	LNCaP	Control1-DHT	GPL6244	NAN	1	quant_nes
96	GSM1406286	siRNA	FOXA1	LNCaP	SiFOXA1-Et	GPL6244	NAN	-1	total_enrichment
97	GSM1406286	siRNA	FOXA1	LNCaP	SiFOXA1-Et	GPL6244	NAN	-1	local_enrichment
98	GSM1406286	siRNA	FOXA1	LNCaP	SiFOXA1-Et	GPL6244	NAN	-1	delta
99	GSM1406286	siRNA	FOXA1	LNCaP	SiFOXA1-Et	GPL6244	NAN	-1	quant_nes
100	GSM1406287	siRNA	FOXA1	LNCaP	SiFOXA1-DHT	GPL6244	NAN	-1	total_enrichment
101	GSM1406287	siRNA	FOXA1	LNCaP	SiFOXA1-DHT	GPL6244	NAN	-1	local_enrichment
102	GSM1406287	siRNA	FOXA1	LNCaP	SiFOXA1-DHT	GPL6244	NAN	-1	delta
103	GSM1406287	siRNA	FOXA1	LNCaP	SiFOXA1-DHT	GPL6244	NAN	-1	quant_nes
104	GSM1406288	siRNA	FOXP1	LNCaP	siFOXP1-Et	GPL6244	NAN	-1	total_enrichment
105	GSM1406288	siRNA	FOXP1	LNCaP	siFOXP1-Et	GPL6244	NAN	-1	local_enrichment
106	GSM1406288	siRNA	FOXP1	LNCaP	siFOXP1-Et	GPL6244	NAN	-1	delta
107	GSM1406288	siRNA	FOXP1	LNCaP	siFOXP1-Et	GPL6244	NAN	-1	quant_nes
108	GSM1406289	siRNA	FOXP1	LNCaP	siFOXP1-DHT	GPL6244	NAN	-1	total_enrichment
109	GSM1406289	siRNA	FOXP1	LNCaP	siFOXP1-DHT	GPL6244	NAN	-1	local_enrichment
110	GSM1406289	siRNA	FOXP1	LNCaP	siFOXP1-DHT	GPL6244	NAN	-1	delta
111	GSM1406289	siRNA	FOXP1	LNCaP	siFOXP1-DHT	GPL6244	NAN	-1	quant_nes
112	GSM1406292	Control	NAN	LNCaP	Contorl2-Et	GPL6244	NAN	1	total_enrichment
113	GSM1406292	Control	NAN	LNCaP	Contorl2-Et	GPL6244	NAN	1	local_enrichment
114	GSM1406292	Control	NAN	LNCaP	Contorl2-Et	GPL6244	NAN	1	delta
115	GSM1406292	Control	NAN	LNCaP	Contorl2-Et	GPL6244	NAN	1	quant_nes
116	GSM1406293	Control	NAN	LNCaP	Control2-DHT	GPL6244	NAN	1	total_enrichment
117	GSM1406293	Control	NAN	LNCaP	Control2-DHT	GPL6244	NAN	1	local_enrichment
118	GSM1406293	Control	NAN	LNCaP	Control2-DHT	GPL6244	NAN	1	delta
119	GSM1406293	Control	NAN	LNCaP	Control2-DHT	GPL6244	NAN	1	quant_nes
120	GSM322415	Control	NAN	LECs	LEC-siRNA-control	GPL570	NAN	1	total_enrichment
121	GSM322415	Control	NAN	LECs	LEC-siRNA-control	GPL570	NAN	1	local_enrichment
122	GSM322415	Control	NAN	LECs	LEC-siRNA-control	GPL570	NAN	1	delta
123	GSM322415	Control	NAN	LECs	LEC-siRNA-control	GPL570	NAN	1	quant_nes
124	GSM322416	siRNA	PROX1	LECs	LEC-siRNA-Prox1	GPL570	NAN	-1	total_enrichment
125	GSM322416	siRNA	PROX1	LECs	LEC-siRNA-Prox1	GPL570	NAN	-1	local_enrichment
126	GSM322416	siRNA	PROX1	LECs	LEC-siRNA-Prox1	GPL570	NAN	-1	delta
127	GSM322416	siRNA	PROX1	LECs	LEC-siRNA-Prox1	GPL570	NAN	-1	quant_nes
128	GSM322417	siRNA	NR2F2	LECs	LEC-siRNA-NR2F2	GPL570	NAN	-1	total_enrichment
129	GSM322417	siRNA	NR2F2	LECs	LEC-siRNA-NR2F2	GPL570	NAN	-1	local_enrichment
130	GSM322417	siRNA	NR2F2	LECs	LEC-siRNA-NR2F2	GPL570	NAN	-1	delta
131	GSM322417	siRNA	NR2F2	LECs	LEC-siRNA-NR2F2	GPL570	NAN	-1	quant_nes
132	GSM322418	siRNA	PROX1	LECs	LEC-siRNA-Prox1/NR2F2	GPL570	NAN	-1	total_enrichment
133	GSM322418	siRNA	PROX1	LECs	LEC-siRNA-Prox1/NR2F2	GPL570	NAN	-1	local_enrichment
134	GSM322418	siRNA	PROX1	LECs	LEC-siRNA-Prox1/NR2F2	GPL570	NAN	-1	delta
135	GSM322418	siRNA	PROX1	LECs	LEC-siRNA-Prox1/NR2F2	GPL570	NAN	-1	quant_nes
136	GSM2262824	Control	NAN	22Rv1	22RV1-shScr-Replicate-1	GPL10558	NAN	1	total_enrichment
137	GSM2262824	Control	NAN	22Rv1	22RV1-shScr-Replicate-1	GPL10558	NAN	1	local_enrichment
138	GSM2262824	Control	NAN	22Rv1	22RV1-shScr-Replicate-1	GPL10558	NAN	1	delta
139	GSM2262824	Control	NAN	22Rv1	22RV1-shScr-Replicate-1	GPL10558	NAN	1	quant_nes
140	GSM2262825	Control	NAN	22Rv1	22RV1-shScr-Replicate-2	GPL10558	NAN	1	total_enrichment
141	GSM2262825	Control	NAN	22Rv1	22RV1-shScr-Replicate-2	GPL10558	NAN	1	local_enrichment
142	GSM2262825	Control	NAN	22Rv1	22RV1-shScr-Replicate-2	GPL10558	NAN	1	delta
143	GSM2262825	Control	NAN	22Rv1	22RV1-shScr-Replicate-2	GPL10558	NAN	1	quant_nes
144	GSM2262826	Control	NAN	22Rv1	22RV1-shScr-Dox-Replicate-1	GPL10558	NAN	1	total_enrichment
145	GSM2262826	Control	NAN	22Rv1	22RV1-shScr-Dox-Replicate-1	GPL10558	NAN	1	local_enrichment
146	GSM2262826	Control	NAN	22Rv1	22RV1-shScr-Dox-Replicate-1	GPL10558	NAN	1	delta
147	GSM2262826	Control	NAN	22Rv1	22RV1-shScr-Dox-Replicate-1	GPL10558	NAN	1	quant_nes
148	GSM2262827	Control	NAN	22Rv1	22RV1-shScr-Dox-Replicate-2	GPL10558	NAN	1	total_enrichment
149	GSM2262827	Control	NAN	22Rv1	22RV1-shScr-Dox-Replicate-2	GPL10558	NAN	1	local_enrichment
150	GSM2262827	Control	NAN	22Rv1	22RV1-shScr-Dox-Replicate-2	GPL10558	NAN	1	delta
151	GSM2262827	Control	NAN	22Rv1	22RV1-shScr-Dox-Replicate-2	GPL10558	NAN	1	quant_nes
152	GSM2385301	Control	NAN	CCRF-CEM	CCRF-CEM-transduced-with-scramble	GPL16686	NAN	1	total_enrichment
153	GSM2385301	Control	NAN	CCRF-CEM	CCRF-CEM-transduced-with-scramble	GPL16686	NAN	1	local_enrichment
154	GSM2385301	Control	NAN	CCRF-CEM	CCRF-CEM-transduced-with-scramble	GPL16686	NAN	1	delta
155	GSM2385301	Control	NAN	CCRF-CEM	CCRF-CEM-transduced-with-scramble	GPL16686	NAN	1	quant_nes
156	GSM2385304	Control	NAN	CCRF-CEM	CCRF-CEM-untransduced	GPL16686	NAN	1	total_enrichment
157	GSM2385304	Control	NAN	CCRF-CEM	CCRF-CEM-untransduced	GPL16686	NAN	1	local_enrichment
158	GSM2385304	Control	NAN	CCRF-CEM	CCRF-CEM-untransduced	GPL16686	NAN	1	delta
159	GSM2385304	Control	NAN	CCRF-CEM	CCRF-CEM-untransduced	GPL16686	NAN	1	quant_nes
160	GSM2385305	Control	NAN	HPB-ALL-T-ALL	HPB-ALL-transduced-with-scramble	GPL16686	NAN	1	total_enrichment
161	GSM2385305	Control	NAN	HPB-ALL-T-ALL	HPB-ALL-transduced-with-scramble	GPL16686	NAN	1	local_enrichment
162	GSM2385305	Control	NAN	HPB-ALL-T-ALL	HPB-ALL-transduced-with-scramble	GPL16686	NAN	1	delta
163	GSM2385305	Control	NAN	HPB-ALL-T-ALL	HPB-ALL-transduced-with-scramble	GPL16686	NAN	1	quant_nes
164	GSM2385308	Control	NAN	HPB-ALL-T-ALL	HPB-ALL-untransduced	GPL16686	NAN	1	total_enrichment
165	GSM2385308	Control	NAN	HPB-ALL-T-ALL	HPB-ALL-untransduced	GPL16686	NAN	1	local_enrichment
166	GSM2385308	Control	NAN	HPB-ALL-T-ALL	HPB-ALL-untransduced	GPL16686	NAN	1	delta
167	GSM2385308	Control	NAN	HPB-ALL-T-ALL	HPB-ALL-untransduced	GPL16686	NAN	1	quant_nes
168	GSM837222	Control	NAN	T-ALL-LOUCY	control-rep1	GPL10558	c1	1	total_enrichment
169	GSM837222	Control	NAN	T-ALL-LOUCY	control-rep1	GPL10558	c1	1	local_enrichment
170	GSM837222	Control	NAN	T-ALL-LOUCY	control-rep1	GPL10558	c1	1	delta
171	GSM837222	Control	NAN	T-ALL-LOUCY	control-rep1	GPL10558	c1	1	quant_nes
172	GSM837223	Control	NAN	T-ALL-LOUCY	control-rep2	GPL10558	c2	1	total_enrichment
173	GSM837223	Control	NAN	T-ALL-LOUCY	control-rep2	GPL10558	c2	1	local_enrichment
174	GSM837223	Control	NAN	T-ALL-LOUCY	control-rep2	GPL10558	c2	1	delta
175	GSM837223	Control	NAN	T-ALL-LOUCY	control-rep2	GPL10558	c2	1	quant_nes
176	GSM1311273	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-1-[Set-2]	GPL6884	c1	1	total_enrichment
177	GSM1311273	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-1-[Set-2]	GPL6884	c1	1	local_enrichment
178	GSM1311273	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-1-[Set-2]	GPL6884	c1	1	delta
179	GSM1311273	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-1-[Set-2]	GPL6884	c1	1	quant_nes
180	GSM1311274	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-2-[Set-2]	GPL6884	c2	1	total_enrichment
181	GSM1311274	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-2-[Set-2]	GPL6884	c2	1	local_enrichment
182	GSM1311274	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-2-[Set-2]	GPL6884	c2	1	delta
183	GSM1311274	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-2-[Set-2]	GPL6884	c2	1	quant_nes
184	GSM1311275	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-3-[Set-2]	GPL6884	c3	1	total_enrichment
185	GSM1311275	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-3-[Set-2]	GPL6884	c3	1	local_enrichment
186	GSM1311275	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-3-[Set-2]	GPL6884	c3	1	delta
187	GSM1311275	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-3-[Set-2]	GPL6884	c3	1	quant_nes
188	GSM1311276	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-4-[Set-2]	GPL6884	c4	1	total_enrichment
189	GSM1311276	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-4-[Set-2]	GPL6884	c4	1	local_enrichment
190	GSM1311276	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-4-[Set-2]	GPL6884	c4	1	delta
191	GSM1311276	Control	NAN	MCF-10A	MCF-10A-shControl-replicate-4-[Set-2]	GPL6884	c4	1	quant_nes
192	GSM1311277	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-1-[Set-2]	GPL6884	k1	-1	total_enrichment
193	GSM1311277	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-1-[Set-2]	GPL6884	k1	-1	local_enrichment
194	GSM1311277	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-1-[Set-2]	GPL6884	k1	-1	delta
195	GSM1311277	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-1-[Set-2]	GPL6884	k1	-1	quant_nes
196	GSM1311278	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-2-[Set-2]	GPL6884	k2	-1	total_enrichment
197	GSM1311278	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-2-[Set-2]	GPL6884	k2	-1	local_enrichment
198	GSM1311278	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-2-[Set-2]	GPL6884	k2	-1	delta
199	GSM1311278	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-2-[Set-2]	GPL6884	k2	-1	quant_nes
200	GSM1311279	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-3-[Set-2]	GPL6884	k3	-1	total_enrichment
201	GSM1311279	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-3-[Set-2]	GPL6884	k3	-1	local_enrichment
202	GSM1311279	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-3-[Set-2]	GPL6884	k3	-1	delta
203	GSM1311279	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-3-[Set-2]	GPL6884	k3	-1	quant_nes
204	GSM1311280	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-4-[Set-2]	GPL6884	k4	-1	total_enrichment
205	GSM1311280	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-4-[Set-2]	GPL6884	k4	-1	local_enrichment
206	GSM1311280	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-4-[Set-2]	GPL6884	k4	-1	delta
207	GSM1311280	shRNA	PTEN	MCF-10A	MCF-10A-shPTEN-replicate-4-[Set-2]	GPL6884	k4	-1	quant_nes
208	GSM1311281	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-1-[Set-2]	GPL6884	k1	-1	total_enrichment
209	GSM1311281	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-1-[Set-2]	GPL6884	k1	-1	local_enrichment
210	GSM1311281	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-1-[Set-2]	GPL6884	k1	-1	delta
211	GSM1311281	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-1-[Set-2]	GPL6884	k1	-1	quant_nes
212	GSM1311282	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-2-[Set-2]	GPL6884	k2	-1	total_enrichment
213	GSM1311282	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-2-[Set-2]	GPL6884	k2	-1	local_enrichment
214	GSM1311282	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-2-[Set-2]	GPL6884	k2	-1	delta
215	GSM1311282	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-2-[Set-2]	GPL6884	k2	-1	quant_nes
216	GSM1311283	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-3-[Set-2]	GPL6884	k3	-1	total_enrichment
217	GSM1311283	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-3-[Set-2]	GPL6884	k3	-1	local_enrichment
218	GSM1311283	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-3-[Set-2]	GPL6884	k3	-1	delta
219	GSM1311283	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-3-[Set-2]	GPL6884	k3	-1	quant_nes
220	GSM1311284	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-4-[Set-2]	GPL6884	k4	-1	total_enrichment
221	GSM1311284	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-4-[Set-2]	GPL6884	k4	-1	local_enrichment
222	GSM1311284	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-4-[Set-2]	GPL6884	k4	-1	delta
223	GSM1311284	shRNA	BRCA1	MCF-10A	MCF-10A-shBRCA1-replicate-4-[Set-2]	GPL6884	k4	-1	quant_nes
224	GSM1311285	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-1-[Set-2]	GPL6884	k1	-1	total_enrichment
225	GSM1311285	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-1-[Set-2]	GPL6884	k1	-1	local_enrichment
226	GSM1311285	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-1-[Set-2]	GPL6884	k1	-1	delta
227	GSM1311285	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-1-[Set-2]	GPL6884	k1	-1	quant_nes
228	GSM1311286	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-2-[Set-2]	GPL6884	k2	-1	total_enrichment
229	GSM1311286	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-2-[Set-2]	GPL6884	k2	-1	local_enrichment
230	GSM1311286	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-2-[Set-2]	GPL6884	k2	-1	delta
231	GSM1311286	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-2-[Set-2]	GPL6884	k2	-1	quant_nes
232	GSM1311287	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-3-[Set-2]	GPL6884	k3	-1	total_enrichment
233	GSM1311287	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-3-[Set-2]	GPL6884	k3	-1	local_enrichment
234	GSM1311287	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-3-[Set-2]	GPL6884	k3	-1	delta
235	GSM1311287	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-3-[Set-2]	GPL6884	k3	-1	quant_nes
236	GSM1311288	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-4-[Set-2]	GPL6884	k4	-1	total_enrichment
237	GSM1311288	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-4-[Set-2]	GPL6884	k4	-1	local_enrichment
238	GSM1311288	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-4-[Set-2]	GPL6884	k4	-1	delta
239	GSM1311288	shRNA	BRCA1	MCF-10A	MCF-10A-shPTEN-shBRCA1-replicate-4-[Set-2]	GPL6884	k4	-1	quant_nes
240	GSM1087801	Control	NAN	HEK293	LIN28B-not-induced-rep1-[Affymetrix]	GPL570	c1	1	total_enrichment
